Age,CustomerSegment,Age_Group,CustomerID,Region,Gender,City,SignUpDate,Year_SignUpDate,Month_SignUpDate,MonthName_SignupDate
42,Standard,Middle Adults,CSTMR0258,MARMARA,FEMALE,ISTANBUL,2022/08/21,2022,8,August
49,Premium,Late Adults,CSTMR0259,MARMARA,FEMALE,KOCAELI,2023/03/13,2023,3,March
30,Standard,Early Adults,CSTMR0260,MARMARA,FEMALE,BURSA,2021/08/11,2021,8,August
44,Standard,Middle Adults,CSTMR0261,MARMARA,FEMALE,ISTANBUL,2022/06/27,2022,6,June
26,VIP,Early Adults,CSTMR0262,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/03/20,2021,3,March
54,Premium,Late Adults,CSTMR0263,AEGEAN,MALE,IZMIR,2021/07/12,2021,7,July
37,Premium,Middle Adults,CSTMR0264,CENTRAL ANATOLIA,MALE,ANKARA,2021/12/26,2021,12,December
25,Standard,Young Adults,CSTMR0265,MARMARA,MALE,BURSA,2021/11/12,2021,11,November
43,Premium,Middle Adults,CSTMR0266,MARMARA,MALE,ISTANBUL,2020/02/19,2020,2,February
50,Standard,Late Adults,CSTMR0267,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/09/19,2022,9,September
44,Standard,Middle Adults,CSTMR0268,MARMARA,MALE,ISTANBUL,2023/02/05,2023,2,February
52,Premium,Late Adults,CSTMR0269,MARMARA,FEMALE,KOCAELI,2021/10/11,2021,10,October
57,Standard,Late Adults,CSTMR0270,MARMARA,OTHER,ISTANBUL,2022/07/09,2022,7,July
28,Standard,Early Adults,CSTMR0271,MARMARA,MALE,BURSA,2023/04/05,2023,4,April
57,Premium,Late Adults,CSTMR0272,MARMARA,FEMALE,ISTANBUL,2020/10/28,2020,10,October
18,Standard,Young Adults,CSTMR0273,MARMARA,MALE,ISTANBUL,2022/01/13,2022,1,January
44,Standard,Middle Adults,CSTMR0274,MARMARA,FEMALE,BURSA,2022/12/29,2022,12,December
28,Premium,Early Adults,CSTMR0275,CENTRAL ANATOLIA,MALE,ANKARA,2020/06/08,2020,6,June
38,Standard,Middle Adults,CSTMR0276,AEGEAN,FEMALE,IZMIR,2022/10/10,2022,10,October
20,Standard,Young Adults,CSTMR0277,BLACK SEA,FEMALE,TRABZON,2020/04/25,2020,4,April
22,Standard,Young Adults,CSTMR0278,MEDITERRANEAN,MALE,ANTALYA,2020/10/13,2020,10,October
19,Premium,Young Adults,CSTMR0279,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/11/01,2022,11,November
18,VIP,Young Adults,CSTMR0280,CENTRAL ANATOLIA,FEMALE,ANKARA,2020/08/24,2020,8,August
28,Standard,Early Adults,CSTMR0281,AEGEAN,MALE,IZMIR,2023/01/12,2023,1,January
47,Standard,Late Adults,CSTMR0282,CENTRAL ANATOLIA,MALE,ANKARA,2023/03/30,2023,3,March
34,VIP,Early Adults,CSTMR0283,MARMARA,FEMALE,ISTANBUL,2020/12/26,2020,12,December
33,Standard,Early Adults,CSTMR0284,AEGEAN,FEMALE,IZMIR,2022/04/14,2022,4,April
42,Premium,Middle Adults,CSTMR0285,CENTRAL ANATOLIA,OTHER,ESKISEHIR,2020/05/22,2020,5,May
67,Premium,Older Adults,CSTMR0286,MARMARA,FEMALE,ISTANBUL,2021/07/14,2021,7,July
49,Standard,Late Adults,CSTMR0287,CENTRAL ANATOLIA,FEMALE,ANKARA,2020/05/13,2020,5,May
34,Standard,Early Adults,CSTMR0288,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/02/02,2021,2,February
25,Standard,Young Adults,CSTMR0289,MEDITERRANEAN,MALE,ADANA,2020/09/22,2020,9,September
53,Standard,Late Adults,CSTMR0290,CENTRAL ANATOLIA,MALE,ANKARA,2020/06/12,2020,6,June
41,Standard,Middle Adults,CSTMR0291,CENTRAL ANATOLIA,FEMALE,ANKARA,2023/02/14,2023,2,February
36,Standard,Middle Adults,CSTMR0292,MARMARA,OTHER,KOCAELI,2023/01/07,2023,1,January
37,Standard,Middle Adults,CSTMR0293,MARMARA,MALE,ISTANBUL,2022/04/25,2022,4,April
43,Premium,Middle Adults,CSTMR0294,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/11/02,2021,11,November
26,Standard,Early Adults,CSTMR0295,MARMARA,FEMALE,ISTANBUL,2022/02/16,2022,2,February
43,Standard,Middle Adults,CSTMR0296,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/12/15,2022,12,December
29,Standard,Early Adults,CSTMR0297,MARMARA,FEMALE,ISTANBUL,2021/02/03,2021,2,February
48,Standard,Late Adults,CSTMR0298,BLACK SEA,FEMALE,TRABZON,2022/02/23,2022,2,February
43,Standard,Middle Adults,CSTMR0299,CENTRAL ANATOLIA,MALE,ANKARA,2022/12/22,2022,12,December
25,Standard,Young Adults,CSTMR0300,AEGEAN,FEMALE,IZMIR,2021/04/27,2021,4,April
44,Standard,Middle Adults,CSTMR0301,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/05/24,2021,5,May
47,Premium,Late Adults,CSTMR0302,MARMARA,FEMALE,BURSA,2022/11/01,2022,11,November
39,Premium,Middle Adults,CSTMR0303,MARMARA,MALE,ISTANBUL,2020/07/31,2020,7,July
24,Standard,Young Adults,CSTMR0304,MARMARA,FEMALE,ISTANBUL,2020/06/21,2020,6,June
47,Standard,Late Adults,CSTMR0305,MARMARA,FEMALE,KOCAELI,2020/07/01,2020,7,July
22,Standard,Young Adults,CSTMR0306,CENTRAL ANATOLIA,MALE,ANKARA,2021/09/15,2021,9,September
21,Standard,Young Adults,CSTMR0307,MARMARA,MALE,BURSA,2020/01/21,2020,1,January
18,Premium,Young Adults,CSTMR0308,MARMARA,FEMALE,ISTANBUL,2023/02/17,2023,2,February
18,Premium,Young Adults,CSTMR0309,CENTRAL ANATOLIA,FEMALE,ANKARA,2020/08/19,2020,8,August
33,Premium,Early Adults,CSTMR0310,AEGEAN,MALE,IZMIR,2021/12/26,2021,12,December
38,Premium,Middle Adults,CSTMR0311,MARMARA,MALE,ISTANBUL,2022/07/28,2022,7,July
28,Standard,Early Adults,CSTMR0312,MARMARA,MALE,ISTANBUL,2020/03/27,2020,3,March
21,Premium,Young Adults,CSTMR0313,MARMARA,MALE,ISTANBUL,2021/02/02,2021,2,February
26,Premium,Early Adults,CSTMR0314,MARMARA,FEMALE,BURSA,2021/03/17,2021,3,March
28,Premium,Early Adults,CSTMR0315,MARMARA,MALE,ISTANBUL,2022/09/18,2022,9,September
48,Standard,Late Adults,CSTMR0316,CENTRAL ANATOLIA,MALE,ANKARA,2020/12/25,2020,12,December
34,Standard,Early Adults,CSTMR0317,AEGEAN,MALE,IZMIR,2020/06/17,2020,6,June
34,Standard,Early Adults,CSTMR0318,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2020/05/28,2020,5,May
37,Standard,Middle Adults,CSTMR0319,MEDITERRANEAN,FEMALE,ANTALYA,2022/06/10,2022,6,June
25,Standard,Young Adults,CSTMR0320,MARMARA,FEMALE,ISTANBUL,2020/01/07,2020,1,January
18,Premium,Young Adults,CSTMR0321,MARMARA,MALE,ISTANBUL,2021/02/17,2021,2,February
49,Standard,Late Adults,CSTMR0322,MARMARA,MALE,KOCAELI,2020/04/22,2020,4,April
41,Premium,Middle Adults,CSTMR0323,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/07/31,2022,7,July
41,Premium,Middle Adults,CSTMR0324,MARMARA,MALE,BURSA,2020/10/28,2020,10,October
25,Standard,Young Adults,CSTMR0325,MARMARA,FEMALE,KOCAELI,2020/08/22,2020,8,August
44,Premium,Middle Adults,CSTMR0326,AEGEAN,FEMALE,AYDIN,2022/02/08,2022,2,February
31,Standard,Early Adults,CSTMR0327,MARMARA,FEMALE,KOCAELI,2020/03/28,2020,3,March
45,Standard,Middle Adults,CSTMR0328,CENTRAL ANATOLIA,MALE,ANKARA,2021/11/26,2021,11,November
50,Standard,Late Adults,CSTMR0329,MARMARA,FEMALE,BURSA,2020/05/15,2020,5,May
40,Standard,Middle Adults,CSTMR0330,MARMARA,OTHER,ISTANBUL,2021/05/29,2021,5,May
53,Premium,Late Adults,CSTMR0331,MARMARA,MALE,ISTANBUL,2022/10/30,2022,10,October
32,Premium,Early Adults,CSTMR0332,AEGEAN,FEMALE,IZMIR,2022/12/25,2022,12,December
36,Standard,Middle Adults,CSTMR0333,CENTRAL ANATOLIA,MALE,ANKARA,2021/07/19,2021,7,July
38,Standard,Middle Adults,CSTMR0334,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/09/11,2022,9,September
46,Premium,Late Adults,CSTMR0335,BLACK SEA,FEMALE,TRABZON,2020/05/11,2020,5,May
33,Standard,Early Adults,CSTMR0336,CENTRAL ANATOLIA,MALE,ANKARA,2022/10/10,2022,10,October
58,Standard,Late Adults,CSTMR0337,MARMARA,FEMALE,ISTANBUL,2020/02/07,2020,2,February
28,Standard,Early Adults,CSTMR0338,MARMARA,MALE,BURSA,2020/09/29,2020,9,September
31,Standard,Early Adults,CSTMR0339,AEGEAN,MALE,IZMIR,2022/12/14,2022,12,December
40,Standard,Middle Adults,CSTMR0340,MARMARA,MALE,KOCAELI,2021/08/16,2021,8,August
51,Premium,Late Adults,CSTMR0341,MARMARA,FEMALE,ISTANBUL,2021/10/25,2021,10,October
20,Standard,Young Adults,CSTMR0342,AEGEAN,MALE,AYDIN,2022/07/15,2022,7,July
27,Standard,Early Adults,CSTMR0343,AEGEAN,FEMALE,AYDIN,2021/04/25,2021,4,April
34,Premium,Early Adults,CSTMR0344,AEGEAN,MALE,IZMIR,2022/02/01,2022,2,February
27,Standard,Early Adults,CSTMR0345,AEGEAN,MALE,IZMIR,2021/10/21,2021,10,October
31,Premium,Early Adults,CSTMR0346,MARMARA,MALE,BURSA,2020/03/18,2020,3,March
42,Premium,Middle Adults,CSTMR0347,MARMARA,MALE,ISTANBUL,2020/09/10,2020,9,September
38,Standard,Middle Adults,CSTMR0348,MEDITERRANEAN,MALE,ANTALYA,2021/07/16,2021,7,July
50,VIP,Late Adults,CSTMR0349,CENTRAL ANATOLIA,FEMALE,ANKARA,2020/02/18,2020,2,February
35,Standard,Early Adults,CSTMR0350,AEGEAN,MALE,AYDIN,2021/09/29,2021,9,September
57,Standard,Late Adults,CSTMR0351,CENTRAL ANATOLIA,MALE,ANKARA,2021/11/16,2021,11,November
32,Standard,Early Adults,CSTMR0352,CENTRAL ANATOLIA,MALE,ANKARA,2022/09/11,2022,9,September
36,Premium,Middle Adults,CSTMR0353,MARMARA,FEMALE,ISTANBUL,2020/06/11,2020,6,June
35,Standard,Early Adults,CSTMR0354,MEDITERRANEAN,FEMALE,ADANA,2020/07/23,2020,7,July
50,Standard,Late Adults,CSTMR0355,MARMARA,FEMALE,ISTANBUL,2021/11/20,2021,11,November
62,VIP,Older Adults,CSTMR0356,CENTRAL ANATOLIA,MALE,ESKISEHIR,2021/11/02,2021,11,November
46,Premium,Late Adults,CSTMR0357,MARMARA,MALE,ISTANBUL,2021/05/06,2021,5,May
39,Premium,Middle Adults,CSTMR0358,MARMARA,FEMALE,KOCAELI,2020/01/21,2020,1,January
41,Standard,Middle Adults,CSTMR0359,MARMARA,MALE,BURSA,2022/05/02,2022,5,May
21,Standard,Young Adults,CSTMR0360,MARMARA,FEMALE,ISTANBUL,2021/09/20,2021,9,September
40,Premium,Middle Adults,CSTMR0361,MARMARA,MALE,KOCAELI,2021/07/26,2021,7,July
51,Standard,Late Adults,CSTMR0362,MARMARA,MALE,ISTANBUL,2020/06/25,2020,6,June
25,Premium,Young Adults,CSTMR0363,MARMARA,MALE,ISTANBUL,2020/01/22,2020,1,January
18,Standard,Young Adults,CSTMR0364,MARMARA,MALE,BURSA,2021/03/10,2021,3,March
38,Premium,Middle Adults,CSTMR0365,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/09/02,2021,9,September
29,Standard,Early Adults,CSTMR0366,MARMARA,MALE,ISTANBUL,2021/01/25,2021,1,January
47,Premium,Late Adults,CSTMR0367,MARMARA,MALE,ISTANBUL,2022/01/13,2022,1,January
47,Premium,Late Adults,CSTMR0368,CENTRAL ANATOLIA,MALE,ANKARA,2022/09/27,2022,9,September
59,Standard,Late Adults,CSTMR0369,MARMARA,MALE,ISTANBUL,2022/03/12,2022,3,March
62,Standard,Older Adults,CSTMR0370,MARMARA,FEMALE,ISTANBUL,2021/08/23,2021,8,August
21,Premium,Young Adults,CSTMR0371,MARMARA,FEMALE,ISTANBUL,2020/01/08,2020,1,January
34,Standard,Early Adults,CSTMR0372,AEGEAN,MALE,IZMIR,2022/12/31,2022,12,December
38,Standard,Middle Adults,CSTMR0373,MARMARA,MALE,ISTANBUL,2021/04/12,2021,4,April
48,Standard,Late Adults,CSTMR0374,AEGEAN,MALE,IZMIR,2022/05/26,2022,5,May
31,Standard,Early Adults,CSTMR0375,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2021/11/18,2021,11,November
31,Premium,Early Adults,CSTMR0376,AEGEAN,FEMALE,IZMIR,2021/06/27,2021,6,June
25,Premium,Young Adults,CSTMR0377,AEGEAN,FEMALE,AYDIN,2023/03/31,2023,3,March
37,Premium,Middle Adults,CSTMR0378,MARMARA,FEMALE,BURSA,2020/09/03,2020,9,September
31,Premium,Early Adults,CSTMR0379,MARMARA,FEMALE,BURSA,2020/08/14,2020,8,August
44,Standard,Middle Adults,CSTMR0380,CENTRAL ANATOLIA,MALE,ANKARA,2021/10/07,2021,10,October
53,Premium,Late Adults,CSTMR0381,MARMARA,FEMALE,BURSA,2021/12/25,2021,12,December
36,Standard,Middle Adults,CSTMR0382,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/12/09,2022,12,December
40,Standard,Middle Adults,CSTMR0383,MARMARA,FEMALE,BURSA,2021/06/29,2021,6,June
32,Standard,Early Adults,CSTMR0384,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/10/08,2022,10,October
47,Premium,Late Adults,CSTMR0385,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/07/19,2022,7,July
45,Standard,Middle Adults,CSTMR0386,MARMARA,MALE,ISTANBUL,2021/04/27,2021,4,April
41,Standard,Middle Adults,CSTMR0387,MARMARA,FEMALE,ISTANBUL,2022/08/25,2022,8,August
34,Standard,Early Adults,CSTMR0388,MARMARA,MALE,ISTANBUL,2021/03/17,2021,3,March
50,Premium,Late Adults,CSTMR0389,MEDITERRANEAN,FEMALE,ANTALYA,2021/04/04,2021,4,April
22,Premium,Young Adults,CSTMR0390,MARMARA,MALE,ISTANBUL,2020/07/28,2020,7,July
19,Standard,Young Adults,CSTMR0391,MARMARA,MALE,ISTANBUL,2021/05/15,2021,5,May
20,Standard,Young Adults,CSTMR0392,MEDITERRANEAN,FEMALE,ADANA,2021/08/18,2021,8,August
42,Premium,Middle Adults,CSTMR0393,MEDITERRANEAN,MALE,ADANA,2022/06/17,2022,6,June
29,Premium,Early Adults,CSTMR0394,MARMARA,MALE,ISTANBUL,2022/12/22,2022,12,December
64,Standard,Older Adults,CSTMR0395,MARMARA,MALE,BURSA,2023/02/17,2023,2,February
44,Standard,Middle Adults,CSTMR0396,MARMARA,FEMALE,ISTANBUL,2020/10/12,2020,10,October
47,Premium,Late Adults,CSTMR0397,MARMARA,FEMALE,ISTANBUL,2022/09/27,2022,9,September
31,Premium,Early Adults,CSTMR0398,MARMARA,MALE,ISTANBUL,2020/08/03,2020,8,August
23,Premium,Young Adults,CSTMR0399,MEDITERRANEAN,MALE,ADANA,2021/11/25,2021,11,November
22,VIP,Young Adults,CSTMR0400,MARMARA,MALE,ISTANBUL,2020/09/24,2020,9,September
38,VIP,Middle Adults,CSTMR0401,MARMARA,FEMALE,ISTANBUL,2022/10/09,2022,10,October
51,VIP,Late Adults,CSTMR0402,AEGEAN,FEMALE,IZMIR,2022/09/03,2022,9,September
24,Premium,Young Adults,CSTMR0403,MARMARA,FEMALE,ISTANBUL,2022/03/30,2022,3,March
36,Standard,Middle Adults,CSTMR0404,AEGEAN,MALE,IZMIR,2021/05/19,2021,5,May
26,VIP,Early Adults,CSTMR0405,MARMARA,MALE,BURSA,2021/08/01,2021,8,August
38,Standard,Middle Adults,CSTMR0406,AEGEAN,OTHER,IZMIR,2022/08/08,2022,8,August
48,Standard,Late Adults,CSTMR0407,MARMARA,FEMALE,ISTANBUL,2021/07/26,2021,7,July
35,Standard,Early Adults,CSTMR0408,MARMARA,OTHER,ISTANBUL,2020/12/27,2020,12,December
21,Standard,Young Adults,CSTMR0409,AEGEAN,FEMALE,IZMIR,2022/01/18,2022,1,January
37,Standard,Middle Adults,CSTMR0410,MARMARA,FEMALE,KOCAELI,2020/02/18,2020,2,February
51,Standard,Late Adults,CSTMR0411,AEGEAN,FEMALE,IZMIR,2020/11/13,2020,11,November
31,Standard,Early Adults,CSTMR0412,MARMARA,MALE,ISTANBUL,2022/03/27,2022,3,March
39,Standard,Middle Adults,CSTMR0413,CENTRAL ANATOLIA,MALE,ANKARA,2021/01/31,2021,1,January
18,Standard,Young Adults,CSTMR0414,MARMARA,FEMALE,BURSA,2020/05/06,2020,5,May
18,Standard,Young Adults,CSTMR0415,CENTRAL ANATOLIA,MALE,ESKISEHIR,2023/02/06,2023,2,February
18,Premium,Young Adults,CSTMR0416,CENTRAL ANATOLIA,MALE,ANKARA,2020/12/04,2020,12,December
47,Premium,Late Adults,CSTMR0417,MARMARA,FEMALE,ISTANBUL,2022/04/29,2022,4,April
44,Standard,Middle Adults,CSTMR0418,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/02/23,2021,2,February
56,Standard,Late Adults,CSTMR0419,MARMARA,MALE,ISTANBUL,2021/10/16,2021,10,October
32,Standard,Early Adults,CSTMR0420,AEGEAN,FEMALE,IZMIR,2020/07/20,2020,7,July
40,Premium,Middle Adults,CSTMR0421,CENTRAL ANATOLIA,MALE,ANKARA,2023/01/12,2023,1,January
47,Standard,Late Adults,CSTMR0422,MARMARA,MALE,KOCAELI,2021/01/21,2021,1,January
37,Premium,Middle Adults,CSTMR0423,MARMARA,MALE,ISTANBUL,2022/09/12,2022,9,September
35,Premium,Early Adults,CSTMR0424,MARMARA,MALE,ISTANBUL,2022/07/09,2022,7,July
43,Standard,Middle Adults,CSTMR0425,MARMARA,FEMALE,BURSA,2021/02/09,2021,2,February
48,Premium,Late Adults,CSTMR0426,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/11/19,2022,11,November
41,Premium,Middle Adults,CSTMR0427,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2022/12/22,2022,12,December
41,Premium,Middle Adults,CSTMR0428,MARMARA,MALE,ISTANBUL,2023/02/15,2023,2,February
24,Standard,Young Adults,CSTMR0429,MARMARA,MALE,BURSA,2021/02/24,2021,2,February
33,Standard,Early Adults,CSTMR0430,MARMARA,MALE,ISTANBUL,2022/07/02,2022,7,July
36,Standard,Middle Adults,CSTMR0431,MARMARA,MALE,ISTANBUL,2021/07/29,2021,7,July
29,Standard,Early Adults,CSTMR0432,MARMARA,FEMALE,ISTANBUL,2022/12/04,2022,12,December
38,VIP,Middle Adults,CSTMR0433,MARMARA,FEMALE,ISTANBUL,2023/03/24,2023,3,March
43,Standard,Middle Adults,CSTMR0434,MARMARA,MALE,BURSA,2020/09/18,2020,9,September
44,Standard,Middle Adults,CSTMR0435,MARMARA,FEMALE,ISTANBUL,2020/06/18,2020,6,June
34,VIP,Early Adults,CSTMR0436,MARMARA,MALE,BURSA,2022/02/24,2022,2,February
19,Standard,Young Adults,CSTMR0437,MARMARA,OTHER,ISTANBUL,2020/08/03,2020,8,August
20,Premium,Young Adults,CSTMR0438,MARMARA,MALE,KOCAELI,2020/12/30,2020,12,December
18,Standard,Young Adults,CSTMR0439,MARMARA,FEMALE,ISTANBUL,2022/01/31,2022,1,January
31,Standard,Early Adults,CSTMR0440,MARMARA,MALE,ISTANBUL,2020/10/26,2020,10,October
41,Standard,Middle Adults,CSTMR0441,BLACK SEA,MALE,TRABZON,2022/06/27,2022,6,June
23,Standard,Young Adults,CSTMR0442,MARMARA,MALE,BURSA,2020/09/29,2020,9,September
50,Standard,Late Adults,CSTMR0443,MARMARA,FEMALE,BURSA,2022/09/25,2022,9,September
30,Standard,Early Adults,CSTMR0444,MARMARA,MALE,KOCAELI,2020/06/12,2020,6,June
57,Premium,Late Adults,CSTMR0445,MARMARA,FEMALE,BURSA,2023/03/09,2023,3,March
56,Standard,Late Adults,CSTMR0446,MARMARA,MALE,KOCAELI,2022/09/03,2022,9,September
38,Standard,Middle Adults,CSTMR0447,MARMARA,MALE,ISTANBUL,2022/03/30,2022,3,March
45,Standard,Middle Adults,CSTMR0448,MARMARA,MALE,BURSA,2023/01/30,2023,1,January
62,Premium,Older Adults,CSTMR0449,CENTRAL ANATOLIA,MALE,ESKISEHIR,2021/05/13,2021,5,May
24,Premium,Young Adults,CSTMR0450,MEDITERRANEAN,FEMALE,ADANA,2020/03/22,2020,3,March
53,Premium,Late Adults,CSTMR0451,MARMARA,FEMALE,KOCAELI,2021/05/25,2021,5,May
42,Standard,Middle Adults,CSTMR0452,MARMARA,FEMALE,BURSA,2022/05/30,2022,5,May
24,VIP,Young Adults,CSTMR0453,MARMARA,MALE,ISTANBUL,2022/07/31,2022,7,July
27,Standard,Early Adults,CSTMR0454,MARMARA,MALE,ISTANBUL,2021/04/24,2021,4,April
38,Premium,Middle Adults,CSTMR0455,AEGEAN,FEMALE,IZMIR,2020/10/03,2020,10,October
50,Premium,Late Adults,CSTMR0456,MARMARA,MALE,ISTANBUL,2021/11/26,2021,11,November
52,Premium,Late Adults,CSTMR0457,MARMARA,MALE,ISTANBUL,2020/05/20,2020,5,May
20,Premium,Young Adults,CSTMR0458,AEGEAN,MALE,IZMIR,2023/02/24,2023,2,February
35,Standard,Early Adults,CSTMR0459,AEGEAN,FEMALE,AYDIN,2021/02/17,2021,2,February
27,VIP,Early Adults,CSTMR0460,MARMARA,MALE,KOCAELI,2022/06/28,2022,6,June
18,Standard,Young Adults,CSTMR0461,MARMARA,MALE,ISTANBUL,2021/01/09,2021,1,January
40,Standard,Middle Adults,CSTMR0462,MARMARA,FEMALE,KOCAELI,2020/11/17,2020,11,November
26,Standard,Early Adults,CSTMR0463,MARMARA,FEMALE,ISTANBUL,2022/06/22,2022,6,June
28,Premium,Early Adults,CSTMR0464,MARMARA,MALE,ISTANBUL,2022/01/02,2022,1,January
20,Premium,Young Adults,CSTMR0465,MARMARA,FEMALE,ISTANBUL,2022/12/12,2022,12,December
41,Standard,Middle Adults,CSTMR0466,MARMARA,MALE,ISTANBUL,2020/07/01,2020,7,July
59,Standard,Late Adults,CSTMR0467,MARMARA,MALE,ISTANBUL,2020/08/06,2020,8,August
52,Standard,Late Adults,CSTMR0468,MARMARA,MALE,ISTANBUL,2020/02/22,2020,2,February
24,Standard,Young Adults,CSTMR0469,CENTRAL ANATOLIA,MALE,ANKARA,2022/11/01,2022,11,November
38,Standard,Middle Adults,CSTMR0470,MARMARA,MALE,ISTANBUL,2020/12/19,2020,12,December
27,Standard,Early Adults,CSTMR0471,MARMARA,MALE,ISTANBUL,2023/03/23,2023,3,March
35,Standard,Early Adults,CSTMR0472,CENTRAL ANATOLIA,MALE,ESKISEHIR,2023/01/16,2023,1,January
47,Standard,Late Adults,CSTMR0473,MARMARA,FEMALE,ISTANBUL,2021/09/24,2021,9,September
27,VIP,Early Adults,CSTMR0474,CENTRAL ANATOLIA,MALE,ANKARA,2021/03/03,2021,3,March
36,Premium,Middle Adults,CSTMR0475,MARMARA,FEMALE,BURSA,2021/11/21,2021,11,November
45,Premium,Middle Adults,CSTMR0476,MARMARA,MALE,KOCAELI,2022/07/17,2022,7,July
27,VIP,Early Adults,CSTMR0477,MARMARA,MALE,ISTANBUL,2020/08/22,2020,8,August
42,Standard,Middle Adults,CSTMR0478,CENTRAL ANATOLIA,MALE,ANKARA,2021/03/06,2021,3,March
64,VIP,Older Adults,CSTMR0479,BLACK SEA,FEMALE,TRABZON,2022/07/01,2022,7,July
33,Standard,Early Adults,CSTMR0480,MARMARA,FEMALE,KOCAELI,2020/08/14,2020,8,August
32,Standard,Early Adults,CSTMR0481,CENTRAL ANATOLIA,MALE,ANKARA,2020/01/31,2020,1,January
55,Premium,Late Adults,CSTMR0482,CENTRAL ANATOLIA,MALE,ANKARA,2022/09/08,2022,9,September
46,Premium,Late Adults,CSTMR0483,MARMARA,FEMALE,ISTANBUL,2022/10/23,2022,10,October
36,Standard,Middle Adults,CSTMR0484,MARMARA,FEMALE,BURSA,2021/05/02,2021,5,May
50,Premium,Late Adults,CSTMR0485,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/07/18,2021,7,July
44,Standard,Middle Adults,CSTMR0486,MARMARA,FEMALE,ISTANBUL,2023/01/30,2023,1,January
35,VIP,Early Adults,CSTMR0487,MARMARA,FEMALE,KOCAELI,2020/04/20,2020,4,April
26,VIP,Early Adults,CSTMR0488,MARMARA,FEMALE,ISTANBUL,2021/06/24,2021,6,June
62,Standard,Older Adults,CSTMR0489,MARMARA,FEMALE,ISTANBUL,2023/03/25,2023,3,March
40,Standard,Middle Adults,CSTMR0490,MARMARA,MALE,ISTANBUL,2020/06/23,2020,6,June
49,Standard,Late Adults,CSTMR0491,MARMARA,MALE,KOCAELI,2022/01/25,2022,1,January
29,VIP,Early Adults,CSTMR0492,AEGEAN,MALE,IZMIR,2021/07/01,2021,7,July
40,Standard,Middle Adults,CSTMR0493,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/12/04,2022,12,December
40,Premium,Middle Adults,CSTMR0494,MARMARA,MALE,ISTANBUL,2021/05/03,2021,5,May
29,VIP,Early Adults,CSTMR0495,AEGEAN,MALE,IZMIR,2021/05/30,2021,5,May
37,Premium,Middle Adults,CSTMR0496,CENTRAL ANATOLIA,MALE,ANKARA,2021/08/30,2021,8,August
55,Standard,Late Adults,CSTMR0497,MARMARA,FEMALE,ISTANBUL,2023/01/18,2023,1,January
41,Standard,Middle Adults,CSTMR0498,AEGEAN,MALE,IZMIR,2021/05/21,2021,5,May
43,VIP,Middle Adults,CSTMR0499,MARMARA,MALE,BURSA,2021/05/05,2021,5,May
51,Premium,Late Adults,CSTMR0500,MARMARA,FEMALE,ISTANBUL,2021/07/12,2021,7,July
43,Standard,Middle Adults,CSTMR0501,MARMARA,FEMALE,KOCAELI,2020/12/26,2020,12,December
40,VIP,Middle Adults,CSTMR0502,MEDITERRANEAN,FEMALE,ANTALYA,2020/01/15,2020,1,January
39,Standard,Middle Adults,CSTMR0503,MEDITERRANEAN,FEMALE,ANTALYA,2021/03/21,2021,3,March
42,Standard,Middle Adults,CSTMR0504,MARMARA,FEMALE,BURSA,2020/01/03,2020,1,January
43,Standard,Middle Adults,CSTMR0505,MARMARA,MALE,ISTANBUL,2020/09/28,2020,9,September
42,Standard,Middle Adults,CSTMR0506,MARMARA,MALE,BURSA,2023/01/18,2023,1,January
47,VIP,Late Adults,CSTMR0507,MARMARA,MALE,ISTANBUL,2022/05/19,2022,5,May
37,Standard,Middle Adults,CSTMR0508,MARMARA,MALE,ISTANBUL,2022/06/01,2022,6,June
27,Standard,Early Adults,CSTMR0509,MEDITERRANEAN,MALE,ANTALYA,2022/07/18,2022,7,July
56,Standard,Late Adults,CSTMR0510,MARMARA,FEMALE,KOCAELI,2021/05/09,2021,5,May
44,Standard,Middle Adults,CSTMR0511,AEGEAN,FEMALE,IZMIR,2021/02/24,2021,2,February
43,Premium,Middle Adults,CSTMR0512,MEDITERRANEAN,FEMALE,ANTALYA,2020/06/19,2020,6,June
38,Standard,Middle Adults,CSTMR0513,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/02/28,2022,2,February
